sentence_number,start,end,text,words,speaker
1,2.939,8.023,"This segment is called, Two Out of Three Ain't Bad, based on the song.","[{'word': 'This', 'start': 2.939, 'end': 3.099, 'score': 0.774, 'speaker': 'SPEAKER_00'}, {'word': 'segment', 'start': 3.139, 'end': 3.52, 'score': 0.947, 'speaker': 'SPEAKER_00'}, {'word': 'is', 'start': 3.64, 'end': 3.72, 'score': 0.908, 'speaker': 'SPEAKER_00'}, {'word': 'called,', 'start': 3.82, 'end': 4.28, 'score': 0.498, 'speaker': 'SPEAKER_00'}, {'word': 'Two', 'start': 5.261, 'end': 5.461, 'score': 0.99, 'speaker': 'SPEAKER_00'}, {'word': 'Out', 'start': 5.561, 'end': 5.641, 'score': 0.995, 'speaker': 'SPEAKER_00'}, {'word': 'of', 'start': 5.682, 'end': 5.742, 'score': 0.742, 'speaker': 'SPEAKER_00'}, {'word': 'Three', 'start': 5.782, 'end': 6.102, 'score': 0.787, 'speaker': 'SPEAKER_00'}, {'word': ""Ain't"", 'start': 6.282, 'end': 6.482, 'score': 0.759, 'speaker': 'SPEAKER_00'}, {'word': 'Bad,', 'start': 6.542, 'end': 6.883, 'score': 0.881, 'speaker': 'SPEAKER_00'}, {'word': 'based', 'start': 7.383, 'end': 7.543, 'score': 0.356, 'speaker': 'SPEAKER_00'}, {'word': 'on', 'start': 7.603, 'end': 7.663, 'score': 0.672, 'speaker': 'SPEAKER_00'}, {'word': 'the', 'start': 7.683, 'end': 7.763, 'score': 0.335, 'speaker': 'SPEAKER_00'}, {'word': 'song.', 'start': 7.783, 'end': 8.023, 'score': 0.859, 'speaker': 'SPEAKER_00'}]",SPEAKER_00
2,8.564,16.13,"So every week when we pick things to talk about, there are always a few news stories and fun things that kind of slip through the cracks just because we're trying to hit the big topics.","[{'word': 'So', 'start': 8.564, 'end': 8.724, 'score': 0.884, 'speaker': 'SPEAKER_00'}, {'word': 'every', 'start': 8.824, 'end': 8.984, 'score': 0.764, 'speaker': 'SPEAKER_00'}, {'word': 'week', 'start': 9.024, 'end': 9.164, 'score': 0.957, 'speaker': 'SPEAKER_00'}, {'word': 'when', 'start': 9.184, 'end': 9.305, 'score': 0.774, 'speaker': 'SPEAKER_00'}, {'word': 'we', 'start': 9.325, 'end': 9.445, 'score': 0.862, 'speaker': 'SPEAKER_00'}, {'word': 'pick', 'start': 9.465, 'end': 9.645, 'score': 0.817, 'speaker': 'SPEAKER_00'}, {'word': 'things', 'start': 9.685, 'end': 9.905, 'score': 0.837, 'speaker': 'SPEAKER_00'}, {'word': 'to', 'start': 9.945, 'end': 10.045, 'score': 0.897, 'speaker': 'SPEAKER_00'}, {'word': 'talk', 'start': 10.105, 'end': 10.285, 'score': 0.997, 'speaker': 'SPEAKER_00'}, {'word': 'about,', 'start': 10.345, 'end': 10.546, 'score': 0.9, 'speaker': 'SPEAKER_00'}, {'word': 'there', 'start': 10.586, 'end': 10.726, 'score': 0.804, 'speaker': 'SPEAKER_00'}, {'word': 'are', 'start': 10.746, 'end': 10.826, 'score': 0.839, 'speaker': 'SPEAKER_00'}, {'word': 'always', 'start': 10.866, 'end': 11.086, 'score': 0.806, 'speaker': 'SPEAKER_00'}, {'word': 'a', 'start': 11.146, 'end': 11.186, 'score': 0.499, 'speaker': 'SPEAKER_00'}, {'word': 'few', 'start': 11.226, 'end': 11.406, 'score': 0.885, 'speaker': 'SPEAKER_00'}, {'word': 'news', 'start': 11.486, 'end': 11.626, 'score': 0.668, 'speaker': 'SPEAKER_00'}, {'word': 'stories', 'start': 11.686, 'end': 12.087, 'score': 0.838, 'speaker': 'SPEAKER_00'}, {'word': 'and', 'start': 12.147, 'end': 12.247, 'score': 0.684, 'speaker': 'SPEAKER_00'}, {'word': 'fun', 'start': 12.327, 'end': 12.507, 'score': 0.932, 'speaker': 'SPEAKER_00'}, {'word': 'things', 'start': 12.567, 'end': 12.807, 'score': 0.906, 'speaker': 'SPEAKER_00'}, {'word': 'that', 'start': 12.847, 'end': 12.947, 'score': 0.9, 'speaker': 'SPEAKER_00'}, {'word': 'kind', 'start': 12.968, 'end': 13.108, 'score': 0.864, 'speaker': 'SPEAKER_00'}, {'word': 'of', 'start': 13.148, 'end': 13.188, 'score': 0.998, 'speaker': 'SPEAKER_00'}, {'word': 'slip', 'start': 13.228, 'end': 13.388, 'score': 0.871, 'speaker': 'SPEAKER_00'}, {'word': 'through', 'start': 13.408, 'end': 13.548, 'score': 0.727, 'speaker': 'SPEAKER_00'}, {'word': 'the', 'start': 13.568, 'end': 13.668, 'score': 0.767, 'speaker': 'SPEAKER_00'}, {'word': 'cracks', 'start': 13.948, 'end': 14.249, 'score': 0.75, 'speaker': 'SPEAKER_00'}, {'word': 'just', 'start': 14.289, 'end': 14.449, 'score': 0.869, 'speaker': 'SPEAKER_00'}, {'word': 'because', 'start': 14.469, 'end': 14.749, 'score': 0.865, 'speaker': 'SPEAKER_00'}, {'word': ""we're"", 'start': 14.829, 'end': 15.029, 'score': 0.357, 'speaker': 'SPEAKER_00'}, {'word': 'trying', 'start': 15.089, 'end': 15.249, 'score': 0.595, 'speaker': 'SPEAKER_00'}, {'word': 'to', 'start': 15.269, 'end': 15.309, 'score': 0.972, 'speaker': 'SPEAKER_00'}, {'word': 'hit', 'start': 15.329, 'end': 15.45, 'score': 0.732, 'speaker': 'SPEAKER_00'}, {'word': 'the', 'start': 15.47, 'end': 15.53, 'score': 0.982, 'speaker': 'SPEAKER_00'}, {'word': 'big', 'start': 15.57, 'end': 15.73, 'score': 0.888, 'speaker': 'SPEAKER_00'}, {'word': 'topics.', 'start': 15.77, 'end': 16.13, 'score': 0.987, 'speaker': 'SPEAKER_00'}]",SPEAKER_00
3,17.071,20.314,But I came up with this little segment to give us a chance to cover some of them.,"[{'word': 'But', 'start': 17.071, 'end': 17.191, 'score': 0.84, 'speaker': 'SPEAKER_00'}, {'word': 'I', 'start': 17.311, 'end': 17.391, 'score': 0.969, 'speaker': 'SPEAKER_00'}, {'word': 'came', 'start': 17.411, 'end': 17.531, 'score': 0.988, 'speaker': 'SPEAKER_00'}, {'word': 'up', 'start': 17.571, 'end': 17.631, 'score': 0.796, 'speaker': 'SPEAKER_00'}, {'word': 'with', 'start': 17.651, 'end': 17.751, 'score': 0.878, 'speaker': 'SPEAKER_00'}, {'word': 'this', 'start': 17.771, 'end': 17.912, 'score': 0.713, 'speaker': 'SPEAKER_00'}, {'word': 'little', 'start': 17.952, 'end': 18.112, 'score': 0.928, 'speaker': 'SPEAKER_00'}, {'word': 'segment', 'start': 18.132, 'end': 18.452, 'score': 0.863, 'speaker': 'SPEAKER_00'}, {'word': 'to', 'start': 18.472, 'end': 18.592, 'score': 0.756, 'speaker': 'SPEAKER_00'}, {'word': 'give', 'start': 18.652, 'end': 18.772, 'score': 0.991, 'speaker': 'SPEAKER_00'}, {'word': 'us', 'start': 18.812, 'end': 18.912, 'score': 0.768, 'speaker': 'SPEAKER_00'}, {'word': 'a', 'start': 18.952, 'end': 18.972, 'score': 0.995, 'speaker': 'SPEAKER_00'}, {'word': 'chance', 'start': 19.012, 'end': 19.293, 'score': 0.849, 'speaker': 'SPEAKER_00'}, {'word': 'to', 'start': 19.373, 'end': 19.553, 'score': 0.642, 'speaker': 'SPEAKER_00'}, {'word': 'cover', 'start': 19.653, 'end': 19.873, 'score': 0.954, 'speaker': 'SPEAKER_00'}, {'word': 'some', 'start': 19.913, 'end': 20.053, 'score': 0.784, 'speaker': 'SPEAKER_00'}, {'word': 'of', 'start': 20.093, 'end': 20.153, 'score': 0.757, 'speaker': 'SPEAKER_00'}, {'word': 'them.', 'start': 20.193, 'end': 20.314, 'score': 0.814, 'speaker': 'SPEAKER_00'}]",SPEAKER_00
4,20.974,26.699,I'm gonna explain a few quick stories to you and I need you guys to decide if it's a good idea or a bad idea.,"[{'word': ""I'm"", 'start': 20.974, 'end': 21.054, 'score': 0.659, 'speaker': 'SPEAKER_00'}, {'word': 'gonna', 'start': 21.074, 'end': 21.214, 'score': 0.364, 'speaker': 'SPEAKER_00'}, {'word': 'explain', 'start': 21.234, 'end': 21.675, 'score': 0.803, 'speaker': 'SPEAKER_00'}, {'word': 'a', 'start': 21.695, 'end': 21.715, 'score': 0.0, 'speaker': 'SPEAKER_00'}, {'word': 'few', 'start': 22.235, 'end': 22.415, 'score': 0.701, 'speaker': 'SPEAKER_00'}, {'word': 'quick', 'start': 22.515, 'end': 22.716, 'score': 0.931, 'speaker': 'SPEAKER_00'}, {'word': 'stories', 'start': 22.756, 'end': 23.036, 'score': 0.798, 'speaker': 'SPEAKER_00'}, {'word': 'to', 'start': 23.076, 'end': 23.176, 'score': 0.833, 'speaker': 'SPEAKER_00'}, {'word': 'you', 'start': 23.216, 'end': 23.336, 'score': 1.0, 'speaker': 'SPEAKER_00'}, {'word': 'and', 'start': 23.436, 'end': 23.516, 'score': 0.832, 'speaker': 'SPEAKER_00'}, {'word': 'I', 'start': 23.536, 'end': 23.576, 'score': 0.273, 'speaker': 'SPEAKER_00'}, {'word': 'need', 'start': 23.596, 'end': 23.716, 'score': 0.512, 'speaker': 'SPEAKER_00'}, {'word': 'you', 'start': 23.736, 'end': 23.836, 'score': 0.683, 'speaker': 'SPEAKER_00'}, {'word': 'guys', 'start': 23.856, 'end': 24.017, 'score': 0.52, 'speaker': 'SPEAKER_00'}, {'word': 'to', 'start': 24.057, 'end': 24.117, 'score': 0.784, 'speaker': 'SPEAKER_00'}, {'word': 'decide', 'start': 24.137, 'end': 24.497, 'score': 0.888, 'speaker': 'SPEAKER_00'}, {'word': 'if', 'start': 24.557, 'end': 24.637, 'score': 0.874, 'speaker': 'SPEAKER_00'}, {'word': ""it's"", 'start': 24.677, 'end': 24.797, 'score': 0.867, 'speaker': 'SPEAKER_00'}, {'word': 'a', 'start': 24.837, 'end': 24.877, 'score': 0.496, 'speaker': 'SPEAKER_00'}, {'word': 'good', 'start': 24.937, 'end': 25.097, 'score': 0.96, 'speaker': 'SPEAKER_00'}, {'word': 'idea', 'start': 25.158, 'end': 25.498, 'score': 0.782, 'speaker': 'SPEAKER_00'}, {'word': 'or', 'start': 26.018, 'end': 26.138, 'score': 0.524, 'speaker': 'SPEAKER_00'}, {'word': 'a', 'start': 26.178, 'end': 26.198, 'score': 0.992, 'speaker': 'SPEAKER_00'}, {'word': 'bad', 'start': 26.238, 'end': 26.419, 'score': 0.887, 'speaker': 'SPEAKER_00'}, {'word': 'idea.', 'start': 26.459, 'end': 26.699, 'score': 0.91, 'speaker': 'SPEAKER_00'}]",SPEAKER_00
5,27.499,31.102,"The theory behind the name is that because there are three of you, there should never be a tie.","[{'word': 'The', 'start': 27.499, 'end': 27.6, 'score': 0.956, 'speaker': 'SPEAKER_00'}, {'word': 'theory', 'start': 27.64, 'end': 27.86, 'score': 0.825, 'speaker': 'SPEAKER_00'}, {'word': 'behind', 'start': 27.9, 'end': 28.12, 'score': 0.917, 'speaker': 'SPEAKER_00'}, {'word': 'the', 'start': 28.16, 'end': 28.24, 'score': 0.856, 'speaker': 'SPEAKER_00'}, {'word': 'name', 'start': 28.28, 'end': 28.52, 'score': 0.706, 'speaker': 'SPEAKER_00'}, {'word': 'is', 'start': 28.66, 'end': 28.74, 'score': 0.752, 'speaker': 'SPEAKER_00'}, {'word': 'that', 'start': 28.761, 'end': 28.881, 'score': 0.825, 'speaker': 'SPEAKER_00'}, {'word': 'because', 'start': 28.921, 'end': 29.141, 'score': 0.88, 'speaker': 'SPEAKER_00'}, {'word': 'there', 'start': 29.161, 'end': 29.281, 'score': 0.902, 'speaker': 'SPEAKER_00'}, {'word': 'are', 'start': 29.301, 'end': 29.381, 'score': 0.834, 'speaker': 'SPEAKER_00'}, {'word': 'three', 'start': 29.441, 'end': 29.661, 'score': 0.891, 'speaker': 'SPEAKER_00'}, {'word': 'of', 'start': 29.681, 'end': 29.761, 'score': 0.666, 'speaker': 'SPEAKER_00'}, {'word': 'you,', 'start': 29.801, 'end': 29.982, 'score': 0.783, 'speaker': 'SPEAKER_00'}, {'word': 'there', 'start': 30.202, 'end': 30.322, 'score': 0.901, 'speaker': 'SPEAKER_00'}, {'word': 'should', 'start': 30.342, 'end': 30.482, 'score': 0.917, 'speaker': 'SPEAKER_00'}, {'word': 'never', 'start': 30.502, 'end': 30.642, 'score': 0.854, 'speaker': 'SPEAKER_00'}, {'word': 'be', 'start': 30.682, 'end': 30.782, 'score': 0.727, 'speaker': 'SPEAKER_00'}, {'word': 'a', 'start': 30.822, 'end': 30.842, 'score': 0.989, 'speaker': 'SPEAKER_00'}, {'word': 'tie.', 'start': 30.882, 'end': 31.102, 'score': 0.997, 'speaker': 'SPEAKER_00'}]",SPEAKER_00
6,31.883,34.604,There will always be something that's either a good idea or a bad idea.,"[{'word': 'There', 'start': 31.883, 'end': 32.003, 'score': 0.946, 'speaker': 'SPEAKER_00'}, {'word': 'will', 'start': 32.043, 'end': 32.163, 'score': 0.998, 'speaker': 'SPEAKER_00'}, {'word': 'always', 'start': 32.223, 'end': 32.423, 'score': 0.832, 'speaker': 'SPEAKER_00'}, {'word': 'be', 'start': 32.463, 'end': 32.543, 'score': 0.663, 'speaker': 'SPEAKER_00'}, {'word': 'something', 'start': 32.583, 'end': 32.823, 'score': 0.891, 'speaker': 'SPEAKER_00'}, {'word': ""that's"", 'start': 32.863, 'end': 33.023, 'score': 0.898, 'speaker': 'SPEAKER_00'}, {'word': 'either', 'start': 33.063, 'end': 33.243, 'score': 0.751, 'speaker': 'SPEAKER_00'}, {'word': 'a', 'start': 33.283, 'end': 33.303, 'score': 0.924, 'speaker': 'SPEAKER_00'}, {'word': 'good', 'start': 33.363, 'end': 33.503, 'score': 0.966, 'speaker': 'SPEAKER_00'}, {'word': 'idea', 'start': 33.543, 'end': 33.803, 'score': 0.874, 'speaker': 'SPEAKER_00'}, {'word': 'or', 'start': 34.004, 'end': 34.104, 'score': 0.49, 'speaker': 'SPEAKER_00'}, {'word': 'a', 'start': 34.144, 'end': 34.184, 'score': 0.484, 'speaker': 'SPEAKER_00'}, {'word': 'bad', 'start': 34.204, 'end': 34.364, 'score': 0.888, 'speaker': 'SPEAKER_00'}, {'word': 'idea.', 'start': 34.404, 'end': 34.604, 'score': 0.876, 'speaker': 'SPEAKER_00'}]",SPEAKER_00
7,34.624,35.144,Okay.,"[{'word': 'Okay.', 'start': 34.624, 'end': 35.144, 'score': 0.676, 'speaker': 'SPEAKER_00'}]",SPEAKER_00
8,35.164,35.844,All right.,"[{'word': 'All', 'start': 35.164, 'end': 35.244, 'score': 0.214, 'speaker': 'SPEAKER_00'}, {'word': 'right.', 'start': 35.604, 'end': 35.844, 'score': 0.412, 'speaker': 'SPEAKER_00'}]",SPEAKER_00
9,36.344,40.685,"Number one, the teenage engineering EP 1320 medieval.","[{'word': 'Number', 'start': 36.344, 'end': 36.524, 'score': 0.815, 'speaker': 'SPEAKER_00'}, {'word': 'one,', 'start': 36.624, 'end': 36.764, 'score': 0.847, 'speaker': 'SPEAKER_00'}, {'word': 'the', 'start': 37.704, 'end': 37.784, 'score': 0.982, 'speaker': 'SPEAKER_00'}, {'word': 'teenage', 'start': 37.824, 'end': 38.124, 'score': 0.762, 'speaker': 'SPEAKER_00'}, {'word': 'engineering', 'start': 38.144, 'end': 38.605, 'score': 0.728, 'speaker': 'SPEAKER_00'}, {'word': 'EP', 'start': 38.765, 'end': 39.145, 'score': 0.767, 'speaker': 'SPEAKER_00'}, {'word': '1320'}, {'word': 'medieval.', 'start': 40.205, 'end': 40.685, 'score': 0.834, 'speaker': 'SPEAKER_00'}]",SPEAKER_00
10,41.465,42.145,There's a link there.,"[{'word': ""There's"", 'start': 41.465, 'end': 41.705, 'score': 0.738, 'speaker': 'SPEAKER_00'}, {'word': 'a', 'start': 41.745, 'end': 41.765, 'score': 0.961, 'speaker': 'SPEAKER_00'}, {'word': 'link', 'start': 41.805, 'end': 41.965, 'score': 0.671, 'speaker': 'SPEAKER_00'}, {'word': 'there.', 'start': 41.985, 'end': 42.145, 'score': 0.8, 'speaker': 'SPEAKER_00'}]",SPEAKER_00
11,42.185,42.725,Good idea.,"[{'word': 'Good', 'start': 42.185, 'end': 42.345, 'score': 0.83, 'speaker': 'SPEAKER_00'}, {'word': 'idea.', 'start': 42.405, 'end': 42.725, 'score': 0.788, 'speaker': 'SPEAKER_00'}]",SPEAKER_00
12,45.246,50.687,"This is a new sampler based on the EP 133, the one that I have and can't shut up about.","[{'word': 'This', 'start': 45.246, 'end': 45.406, 'score': 0.935, 'speaker': 'SPEAKER_00'}, {'word': 'is', 'start': 45.486, 'end': 45.566, 'score': 0.68, 'speaker': 'SPEAKER_00'}, {'word': 'a', 'start': 45.706, 'end': 45.766, 'score': 0.878, 'speaker': 'SPEAKER_00'}, {'word': 'new', 'start': 45.866, 'end': 45.986, 'score': 0.986, 'speaker': 'SPEAKER_00'}, {'word': 'sampler', 'start': 46.046, 'end': 46.446, 'score': 0.843, 'speaker': 'SPEAKER_00'}, {'word': 'based', 'start': 46.506, 'end': 46.746, 'score': 0.938, 'speaker': 'SPEAKER_00'}, {'word': 'on', 'start': 46.806, 'end': 46.866, 'score': 0.834, 'speaker': 'SPEAKER_00'}, {'word': 'the', 'start': 46.886, 'end': 46.986, 'score': 0.786, 'speaker': 'SPEAKER_00'}, {'word': 'EP', 'start': 47.106, 'end': 47.447, 'score': 0.87, 'speaker': 'SPEAKER_00'}, {'word': '133,'}, {'word': 'the', 'start': 47.887, 'end': 48.267, 'score': 0.495, 'speaker': 'SPEAKER_00'}, {'word': 'one', 'start': 48.727, 'end': 48.847, 'score': 0.719, 'speaker': 'SPEAKER_00'}, {'word': 'that', 'start': 48.867, 'end': 49.047, 'score': 0.936, 'speaker': 'SPEAKER_00'}, {'word': 'I', 'start': 49.187, 'end': 49.247, 'score': 0.995, 'speaker': 'SPEAKER_00'}, {'word': 'have', 'start': 49.287, 'end': 49.567, 'score': 0.796, 'speaker': 'SPEAKER_00'}, {'word': 'and', 'start': 49.607, 'end': 49.707, 'score': 0.614, 'speaker': 'SPEAKER_00'}, {'word': ""can't"", 'start': 49.947, 'end': 50.147, 'score': 0.8, 'speaker': 'SPEAKER_00'}, {'word': 'shut', 'start': 50.187, 'end': 50.347, 'score': 0.806, 'speaker': 'SPEAKER_00'}, {'word': 'up', 'start': 50.387, 'end': 50.467, 'score': 0.829, 'speaker': 'SPEAKER_00'}, {'word': 'about.', 'start': 50.507, 'end': 50.687, 'score': 0.934, 'speaker': 'SPEAKER_00'}]",SPEAKER_00
